Community,Id,Request,Score1,Score2,Score3,Score4,Score5,TurkId1,TurkId2,TurkId3,TurkId4,TurkId5,Normalized Score,Average,Classification,
Wikipedia,383005,I have just put the article to peer review. Would you care to take a look?,21,21,25,16,17,A233ONYNWKDIYF,A3MN5VOZFQPNZF,A2MWGIVIKOXWYM,A1GK3MPU2HL0C8,A872FSFU7WV6W,1.253848791,20,Polite,0.715449453
Wikipedia,288022,Sounds good to me. Should we start preparing for it now just in case the GA reviewer notices that something significant is missing?,17,16,15,19,17,A2UFD1I8ZO1V4G,A2YFPO0N4GIS25,AYG3MF094634L,A38WUWONC7EXTO,A15DM9BMKZZJQ6,0.680780573,16.8,Polite,0.974938347
Wikipedia,428392,I have an email from the owner of this image that your BOT deleted.  Can you please restore this and I can send in the email granting me permission to post?,21,17,17,18,21,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A28TXBSZPWMEU9,A3IHLWMZNBLUR4,1.070393658,18.8,Polite,0.812121044
Wikipedia,520493,I was wondering why I couldn't edit the list of micronations article to correct the alphabetical order. was I blocked?,17,25,15,13,13,A2UFD1I8ZO1V4G,A1UEZLJ583HSV5,A28TXBSZPWMEU9,A28ZB4ZB13BWAI,AIPK94CUWL45W,0.236368648,16.6,Polite,0.793299125
Wikipedia,416730,Thank you for taking the time to dig up the references. Are you planning on integrating them into the article sometime soon?,21,17,21,21,21,APDWVWS2HMSFD,A2EJ6MKRFATU5I,A2UFD1I8ZO1V4G,A2QH1BQA6GR48O,AIPK94CUWL45W,1.589974603,20.2,Polite,0.057237938
Wikipedia,527356,"Do you have ""remember me"" set in IE? If not are you using the login link?",13,13,14,17,10,A233ONYNWKDIYF,A199E33VY97TR,AYG3MF094634L,A2MWGIVIKOXWYM,A1F4D2PZ7NNWTL,-0.208190568,13.4,Rude,0.212253629
Wikipedia,472594,"And, by the way, shouldn't there have to be actual copyright VIOLATIONS (not just a lack of a machine-readable tag) to delete a photograph? Or are we so concerned with making our project bot-friendly that it doesn't matter if we lose really great images in the process?",9,17,9,13,12,A6YO9886DY2SC,A1T546143DSJDI,A3CFNUD7VR2E1E,A2LQ33BQ8G259D,A2UBXHCHM2I6IL,-0.397467092,12,Rude,0.534157969
Wikipedia,73271,"I don't follow you I was not aware that my edits were vandalism, I was editing according to what had (it appeared to me) been agreed on the talk page, but additional material had been inserted (that had not been agreed upon)  that esentialy said the same thing (and was not supported by the sources) that had caused the origioanl disagrement. I think I may have mis-understood you point, are you saying that I can only revert three times if its vandalism, or that my edits were vandalims?",16,15,23,21,9,A2QN0EGBRGJU1M,A2GSW5RBAT5LQ5,AO5E3LWBYM72K,A2ULMYRKQMNNFG,A3TFQK7QK8X6LM,0.531621381,16.8,Polite,0.558826568
Wikipedia,105853,"Very strange, how come I can see all the other posts? How do I clear the cache - do you know?",15,14,15,13,17,A2WKPCZU4U110T,AYG3MF094634L,A3LXBP8T6JMY9B,A1RT9SQ9D9DLOV,A2BE71BN177IH3,0.056920578,14.8,Neutral,0.116715758
Wikipedia,620704,"There you go, it's GA now. Have you done anything else that's gotten to GA?",13,22,1,13,9,A2UFD1I8ZO1V4G,AO5E3LWBYM72K,A2MWGIVIKOXWYM,A1GK3MPU2HL0C8,A1F4D2PZ7NNWTL,-0.57482913,11.6,Rude,0.074651191
Wikipedia,629445,Please answer the question fully. Which other accounts have you edited as?,10,13,14,10,17,A2WKPCZU4U110T,A2UFD1I8ZO1V4G,AYG3MF094634L,A3EJ5TT2ZGBIDA,A2BE71BN177IH3,-0.428016841,12.8,Rude,0.883653232
Wikipedia,194540,I see we've been reading the same article on <url> years. Can you address my question on the talk page?,25,15,6,10,15,ANGX5PAAYGL9P,AW6UIL04MLQ9N,AAZKHFKG1B8VQ,AVHARSCRX7M9E,AZOAW8JH5HJJK,0.116059966,14.2,Neutral,0.375059665
Wikipedia,405845,"Hey, I'm inquiring about my <url> a few months ago for photos from the Flames-Rangers game that took place last week. I've gotten a few of these since then, but just wondering if you remembered and got any shots that would be worth using on here?",17,21,17,17,14,A2UFD1I8ZO1V4G,A26YKYQIA3GX8B,A28ZB4ZB13BWAI,A2AMGE57IJVSHF,A29B522D0BX6HN,0.705991373,17.2,Polite,0.511659841
Wikipedia,528217,Does that mean all the realiable sources are incorrect too? Was the e-mail from a reliable source?,17,13,17,15,13,A16PRU8T6NZLN5,A233ONYNWKDIYF,AW6UIL04MLQ9N,A2H8VMF0FQIFUM,A1DTQSIIYIZL62,0.052707263,15,Neutral,0.077586072
Wikipedia,507463,"I don't understand how you find it appropriate to talk about your illegal drug use on your user page.  Also, how do you have the right to ban other people's usernames with a name like ""'''BONG'''warrior""?",19,5,2,1,5,AUJNGT4ODJ6TE,A3S5L3I8O3Q2G,A2EKTJWJGLWVWV,A2AMGE57IJVSHF,A1LO3ERNARW7Y4,-1.401238912,6.4,Rude,0.0671372
Wikipedia,572662,I see you have a BugZilla account. How do you make it so it doesn't show your email to everybody?,13,13,17,15,13,A233ONYNWKDIYF,A2WKPCZU4U110T,A302M81U0HM7RJ,A2LTFK382VHMWY,AZOAW8JH5HJJK,0.052339393,14.2,Neutral,0.160957631
Wikipedia,628496,"I see you've just placed a deletion request on your user page, but this page has no history and hasn't been edited previously.  Did you mean to place it on the article you created, <url>?",17,17,20,17,17,A2UFD1I8ZO1V4G,AYG3MF094634L,AO5E3LWBYM72K,A1RT9SQ9D9DLOV,AD1IH74UX9IAI,0.849143661,17.6,Polite,0.207948162
Wikipedia,462525,"I'm working on Debra <url>, but I'm worried at how I'm doing on the article and the ""title"" of the references. They are really long, like  ""Monthly Weather Review - Volume 107 - Atlantic Hurricane Season of 1978 - page 6"" - is that okay for a reference name?",17,17,14,8,21,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,A28K8ST8B2XU0N,A3IHLWMZNBLUR4,0.297386763,15.4,Polite,0.145015658
Wikipedia,622842,I believe supserstition exists.  Why did you ask me?,17,9,12,11,7,AISPSIJ54U4SC,A1QV3X9YMQQ3OQ,AC25X12LNYY6Y,AZOAW8JH5HJJK,AEYHIQUDWJ3KV,-0.587163992,11.2,Rude,0.519131378
Wikipedia,461087,"I'm really very sorry, but no, I '''didn't''' know, didn't get a message saying that was wrong. Where was it?",13,21,17,19,21,A2UFD1I8ZO1V4G,A26YKYQIA3GX8B,A28ZB4ZB13BWAI,A2AMGE57IJVSHF,A29B522D0BX6HN,0.784624825,18.2,Polite,0.735124715
Wikipedia,623377,"Sorry, no clue.  The help desk wasn't helpful, huh?",9,10,13,15,17,A233ONYNWKDIYF,A2WKPCZU4U110T,A2UFD1I8ZO1V4G,A2ULMYRKQMNNFG,A37ADCYLCSB5O2,-0.407308625,12.8,Rude,0.617477555
Wikipedia,619148,"Yes, it's a worry, particularly in light of the <url>. The end could be closer than we think .... or has someone else already said that?",17,17,10,13,18,A16PRU8T6NZLN5,A1BJTTNDDFZ3ZP,AVHARSCRX7M9E,AQWC8BPA9JB7T,A1KC138MX47DXA,0.196247291,15,Neutral,0.131654412
Wikipedia,321637,"Yes, I'm delighted; result after a torturous few days! Um, can we add a Dali or Miro img?",13,11,25,16,19,A233ONYNWKDIYF,A3MN5VOZFQPNZF,A3E157ZN8XPUKJ,A26NYABOD7YBW8,A38WUWONC7EXTO,0.543899187,16.8,Polite,0.899757993
Wikipedia,290620,comment from a member of the Article Rescue Squadron? Do you know how to hide a human body?,9,11,13,10,13,A22DP0ST9DWG9O,A1E0EK09CA5OIO,AO3XB5I5QNNUI,A3SQ6ORWDN5BGZ,AMSWIR4J9XEIJ,-0.718386957,11.2,Rude,0.395422158
Wikipedia,621743,I'm not seeing evidence of <url> grudge.  Can you show me the evidence?,17,16,21,9,9,AO5E3LWBYM72K,A3LXBP8T6JMY9B,A2MWGIVIKOXWYM,A2NRW37D7QPLRE,A2LQ33BQ8G259D,-0.234115657,14.4,Neutral,0.414462524
Wikipedia,448921,"Hey, I just noticed <url>, and something doesn't seem right. What should be done?",17,13,21,16,17,AZN83WTGUR1JZ,A28TXBSZPWMEU9,A00613921OIEGJA322163,A29B522D0BX6HN,AIPK94CUWL45W,0.360443418,16.8,Polite,0.93092963
Wikipedia,20833,"Darkstar, I am completely baffled by this, I don't know where you are coming from or what your complaint is, and you are one of the writers that I most often agree with. Can you explain?",9,14,15,13,9,ANGX5PAAYGL9P,AYG3MF094634L,A3H7G3TQXAYGYD,AQWC8BPA9JB7T,A13CO3B2BRXQLZ,-0.344647768,12,Rude,0.325546583
Wikipedia,626341,"Maybe you can clarify what you meant by ""legal action"" then? Perhaps you just meant as opposed to illegal actions?",9,14,9,17,13,A233ONYNWKDIYF,A1E0EK09CA5OIO,A3ACTDP7KEU5IW,A2JBYOEZH64Y5E,ARWMIQV2EW4PO,-0.301985186,12.4,Rude,0.945031748
Wikipedia,629203,I would be fine with my comments being copied to the talk page - is that what was wanted? Or did I misunderstand?,13,17,13,21,15,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A1BJTTNDDFZ3ZP,A3454T4PU9GJM0,A2ULMYRKQMNNFG,0.383489616,15.8,Polite,0.607037762
