Community,Id,Request,Score1,Score2,Score3,Score4,Score5,TurkId1,TurkId2,TurkId3,TurkId4,TurkId5,Normalized Score,Average,Classification,,,,
092011 Electrical Engineering,8411,you need to clarify the question.  Are you talking about generating a DC voltage from the PWM?,17,16,21,21,14,AO3XB5I5QNNUI,A23312XQ2AQ91W,A32VJLRWGMYGSU,A1W2G1N4BDF2DW,A1T5YMBH35PDBX,0.76043817,17.8,Polite,0.742161597,,,
Wikipedia,137632,"I was thinking that it would be appropriate to <url> <url> for the front page on April 16th, 2008, the one-year anniversary of the event. What do you think about that?",17,16,21,17,17,A16PRU8T6NZLN5,ANMGOZ451W9ZN,A3454T4PU9GJM0,A1F4D2PZ7NNWTL,A38N58BSMTA0BE,0.634292509,17.6,Polite,0.343396639,,,
092011 WordPress,2272,Thank you very much for your answer. Could you please take a moment and provide the code I would need to add which would allow me to achieve these goals?,17,25,20,18,23,AYG3MF094634L,A26PVQXPVF93M0,A3RLCGRXA34GC0,A28TXBSZPWMEU9,ARX0S1CIDJLOX,2.249883902,20.6,Polite,0.280076586,,,
Wikipedia,335570,"How is it false to state he was the ruler of the PRC - terms such as ""Mao's government"" are used in the article. Can you leave your Marxist personal beliefs at the door?",1,5,1,5,1,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,A19ZT0TQPFA2,-2.465614104,2.6,Rude,0.996475036,,,
092011 WordPress,60,Are you sure it's WordPress autocomplete? Do you get a different result with a different browser?,17,17,21,12,21,ARYGQ46IMW8AU,A2UFD1I8ZO1V4G,A1FF4KWG1G44QE,A1XKHXJ8CMIX7N,A1LRRDBA84ITCJ,0.914423966,17.6,Polite,0.204950039,,,
092011 Stack Overflow,7847425,Sorry for inconvenience. try any help here is it an error?,25,17,14,19,22,A1UIH2IMG9DV95,A2UFD1I8ZO1V4G,AYG3MF094634L,AD1IH74UX9IAI,A2BKPNKU3EG41Z,1.466132243,19.4,Polite,0.956596815,,,
092011 Stack Overflow,3968467,"""Cant see the error"" ? You mean your compiler crashes as badly on this code that you even can't tell us what he is complaining about?",5,14,13,5,5,A233ONYNWKDIYF,AYG3MF094634L,A28TXBSZPWMEU9,A28ZB4ZB13BWAI,A125P73OQSRNI5,-1.525871206,8.4,Rude,0.023556333,,,
Wikipedia,452850,"Wow, you waited a whole ten minutes. What's the problem?",8,2,4,1,1,ANMGOZ451W9ZN,A22SZHZTF72TRM,AW6UIL04MLQ9N,A3H7G3TQXAYGYD,A117G4HSX1Y0LQ,-2.251219647,3.2,Rude,0.610844323,,,
Wikipedia,6478,Thanks. Do you happen to know if the postcard was origianlly published in Japan?,17,21,25,15,20,A233ONYNWKDIYF,A3MN5VOZFQPNZF,A2MWGIVIKOXWYM,A1GK3MPU2HL0C8,A872FSFU7WV6W,1.1498799,19.6,Polite,0.397202163,,,
Wikipedia,305807,"Hi, I wsa just noticing that in <url>, players such as Tommy Walsh and Paul O'Connor have appeared under 'T' and 'P' respectively, rather than 'W' and 'O'.  How should that be fixed?",13,14,21,21,21,A233ONYNWKDIYF,A28TXBSZPWMEU9,A28ZB4ZB13BWAI,A00613921OIEGJA322163,A19ZT0TQPFA2,0.615747205,18,Polite,0.777764311,,,
Wikipedia,115596,Such as the redundant link to ''Roe v. Wade''? Not an improvement?,9,7,1,13,9,A233ONYNWKDIYF,A3CA5S8GR8TZ1U,A1BJTTNDDFZ3ZP,A3EJ5TT2ZGBIDA,A3FGBGZ4RKH712,-1.062953812,7.8,Rude,0.675819082,,,
092011 Stack Overflow,1321450,"sorry folks, i didn't know how to use the community wiki box.  can this be reopened as i've moved it over?",25,17,13,17,25,APEJ17EE0VDDT,ARYGQ46IMW8AU,A28TXBSZPWMEU9,A2BKPNKU3EG41Z,A3OY0OL2M0HUTT,0.90495489,19.4,Polite,0.220606568,,,
Wikipedia,240300,"Um - no.  And I take it you delieve all racist and fascist groups are ""right wing""?",5,16,1,5,4,AW6UIL04MLQ9N,A21FGAQF6DQ9D9,A1BJTTNDDFZ3ZP,A2MWGIVIKOXWYM,A1F4D2PZ7NNWTL,-1.236645599,6.2,Rude,0.365503379,,,
Wikipedia,80498,"And personally I'm not gonna apologize for <url>. Quite a bit different than a Holocaust denier like Nordling, don't you think?",5,5,11,8,9,AAZKHFKG1B8VQ,A1BJTTNDDFZ3ZP,A1E0EK09CA5OIO,A3EJ5TT2ZGBIDA,A1F4D2PZ7NNWTL,-1.348234866,7.6,Rude,0.047881077,,,
Wikipedia,330884,"Thanks for your work in cleaning up <url> (which is now finished, but for a few hard cases which likely will require the writing of articles to conform to those links). Would you like to collaborate on another section of this list?",25,17,9,21,24,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,ARSOFYBFN51Q0,A28TXBSZPWMEU9,A00613921OIEGJA322163,1.087828957,19.2,Polite,0.187919218,,,
092011 Stack Overflow,2330250,The way you were doing it at first looks right. Can you post the exact text of the error message you get?,17,16,19,21,16,A1G05O3HM7DNVZ,A3EJ5TT2ZGBIDA,A17G2LOYX7WQZ,A3DKR227NQCH4X,A39FH0T1NKKMVO,0.580059449,17.8,Polite,0.466453193,,,
Wikipedia,239991,"I have already read this - thank you very much for this kind gesture, dear friend. What's up with you?",13,18,25,18,15,A233ONYNWKDIYF,A22SZHZTF72TRM,A199E33VY97TR,A1TMK6G1BLKVS2,A3EJ5TT2ZGBIDA,0.953686353,17.8,Polite,0.579453356,,,
092011 Stack Overflow,8658563,@Lukas I'm faced with a similar problem at the moment. Did you ever find a good solution?,21,25,16,21,15,AQRI1E9W5268O,A29OF3N57XNRZ0,AYG3MF094634L,A1CZL2FSMCKTTH,A39FH0T1NKKMVO,1.4815507,19.6,Polite,0.043379896,,,
092011 Programmers,10603,"Consider rephrasing your title. ""How complex is the documentation you write?""",9,9,9,9,5,AO3XB5I5QNNUI,A233ONYNWKDIYF,A1HUUSCZ4I5SOP,A2UFD1I8ZO1V4G,A1T5YMBH35PDBX,-1.543944036,8.2,Rude,0.735342265,,,
092011 TeX - LaTeX,1488,"""I've found these packages being imported by the model:"" The model? To what do you refer?",5,17,9,9,1,A3CPYEB0W3MLZK,A2UFD1I8ZO1V4G,ARX0S1CIDJLOX,A2MWGIVIKOXWYM,AR6N5URYPDBXS,-0.897299213,8.2,Rude,0.13109281,,,
092011 TeX - LaTeX,4008,"I'm not quite sure what is your question: (1) You want to produce a PDF file without embedding any fonts and you'd like to know when this is ""safe""? (2) You would like to make sure that all Latex users can compile your document without installing additional packages?",9,16,21,21,21,AO3XB5I5QNNUI,A1KC138MX47DXA,A32VJLRWGMYGSU,A1LRRDBA84ITCJ,A13HSR88OUNIVP,0.591491982,17.6,Polite,0.832802073,,,
Wikipedia,428392,I have an email from the owner of this image that your BOT deleted.  Can you please restore this and I can send in the email granting me permission to post?,21,17,17,18,21,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A3S5L3I8O3Q2G,A28TXBSZPWMEU9,A3IHLWMZNBLUR4,1.070393658,18.8,Polite,0.262330252,,,
Wikipedia,123811,original article????,13,1,13,9,1,A2UFD1I8ZO1V4G,A1W2G1N4BDF2DW,A28TXBSZPWMEU9,AIPK94CUWL45W,A3IHLWMZNBLUR4,-1.387626302,7.4,Rude,0.47435318,,,
092011 GIS,12057,"I suspect that `'apt-get install libpq-dev` didn't work properly, as the 9.04 distro is no longer supported (too old). Can you run the `pg_config` command?",9,12,9,1,5,AO3XB5I5QNNUI,A1KC138MX47DXA,A2UFD1I8ZO1V4G,A1FF4KWG1G44QE,A3U7P73AIQVS9S,-1.224824072,7.2,Rude,0.260682671,,,
Wikipedia,556231,"Hi, I see you voted ""support"" but in the neutral section. Would you like to move that to the support section?",21,14,21,20,17,A233ONYNWKDIYF,A22SZHZTF72TRM,A199E33VY97TR,A1TMK6G1BLKVS2,A3EJ5TT2ZGBIDA,1.075622917,18.6,Polite,0.617508608,,,
092011 Statistical Analysis,13739,What does your data look like? Are the values bound?,17,21,15,17,22,A3IS283P2CECZJ,A3E157ZN8XPUKJ,ARYGQ46IMW8AU,A2UFD1I8ZO1V4G,A2MWGIVIKOXWYM,0.610105246,18.4,Polite,0.857717633,,,
092011 Stack Overflow,4392214,Are the Ajax or other porlet technologies good enough?  Are there any other Java portlet technologies that I should study?,21,17,13,17,21,APEJ17EE0VDDT,A233ONYNWKDIYF,A3MMLCBV2W3BP9,AD1IH74UX9IAI,A3OY0OL2M0HUTT,0.883266833,17.8,Polite,0.910217468,,,
Wikipedia,622646,Please don't talk like a robot. What harm did it do?,9,2,9,8,9,A233ONYNWKDIYF,A1TLLJDX8H4JP1,AC25X12LNYY6Y,A1F4D2PZ7NNWTL,AEYHIQUDWJ3KV,-1.255446025,7.4,Rude,0.277991648,,,
Wikipedia,629913,"Nice work!  Since you dug up some information on Fahnbulleh, I'm curious u2014 do you know what relation he is to Ambassador Henry Fahnbulleh, whom Tubman accused of an attempted coup?",21,21,21,21,25,A2ZABRSFZKUOKV,AC25X12LNYY6Y,A22CF8BF9YQND7,A13CO3B2BRXQLZ,A3HZVDLYFUZ7KE,1.5950534,21.8,Polite,0.29217985,,,
Wikipedia,499757,Welcome to WikiProject Austria. I'm wondering if you're willing to coordinate the project for a while?,21,18,13,21,25,A233ONYNWKDIYF,A28TXBSZPWMEU9,A28ZB4ZB13BWAI,A00613921OIEGJA322163,A19ZT0TQPFA2,1.008216345,19.6,Polite,0.947815144,,,
092011 Stack Overflow,4999733,I don't understand. If you had your problem solved ... why did you post a question?,4,5,5,9,9,A23FB7HE970AZJ,A3OW54MEVDKXJL,A28ZB4ZB13BWAI,AD1IH74UX9IAI,A1Z7WT01G55LDC,-2.153562203,6.4,Rude,0.523223196,,,
Wikipedia,126492,So you're interested in both Amiga computers and BDSM! Are you an atheist too?,3,9,9,3,12,A22SZHZTF72TRM,A26NYABOD7YBW8,A2UBXHCHM2I6IL,A1F4D2PZ7NNWTL,AZOAW8JH5HJJK,-1.710367186,7.2,Rude,0.274808302,,,
092011 WordPress,3600,Post you linked to also has non-edit filter solution by Otto. Had you tried that?,5,5,8,7,9,AO3XB5I5QNNUI,A233ONYNWKDIYF,A3RLCGRXA34GC0,A13CO3B2BRXQLZ,A3CFNUD7VR2E1E,-1.613072751,6.8,Rude,0.981797819,,,
Wikipedia,389970,"ok that was really confusing, I clicked on this link <url> and then cleaned the page but the page still exists, sso from what I understood if you put the ending ""/double redirect"" at the end of any article, you'll see how many redirects it has? is that right?",17,17,21,22,11,A2UFD1I8ZO1V4G,A2QN0EGBRGJU1M,A1HGJ7P0U12ZH8,A2MWGIVIKOXWYM,A3TFQK7QK8X6LM,0.593945638,17.6,Polite,0.388670391,,,
Wikipedia,497049,And this is your first edit. Isn't that interesting?,13,1,6,13,10,A2UFD1I8ZO1V4G,A1QV3X9YMQQ3OQ,AVHARSCRX7M9E,A13CO3B2BRXQLZ,AEYHIQUDWJ3KV,-1.03842215,8.6,Rude,0.932311135,,,
092011 Apple,770,Hmm.. the price probably depends on the Apple store (e.g. for me prices show in Euros) Which price should we note?,9,9,6,10,1,AO3XB5I5QNNUI,A233ONYNWKDIYF,A23312XQ2AQ91W,A28TXBSZPWMEU9,ARX0S1CIDJLOX,-1.518838401,7,Rude,0.953385635,,,
Wikipedia,328975,"Hi Mike, Awadewit suggested you might be interested in a project we're running here at the British Museum over the next week - <url>. Perhaps you'd be able to help out and sign up?",17,20,17,21,13,A1T5YMBH35PDBX,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A2QH1BQA6GR48O,A2AMGE57IJVSHF,0.970662744,17.6,Polite,0.221239947,,,
Wikipedia,133623,You have been accused of sockpuppetry at <url>.  Scared?,9,9,2,5,9,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A28TXBSZPWMEU9,A3GOI327COFGY5,ANVEDG15GV3QE,-1.863347643,6.8,Rude,0.013119662,,,
