Community,Id,Request,Score1,Score2,Score3,Score4,Score5,TurkId1,TurkId2,TurkId3,TurkId4,TurkId5,Normalized Score,Average,Classification,,,
Wikipedia,621427,"I don't think so, Giano. Can we just once attempt to let this pass by without calling for the heads of people?",8,10,10,8,1,A2ZABRSFZKUOKV,A3L8MJ1C4OEDGV,A2ULMYRKQMNNFG,A3EJ5TT2ZGBIDA,A3TFQK7QK8X6LM,-1.483220811,7.4,Rude,0.13891477,,2812
092011 Stack Overflow,4274695,"Does the values for empty column on your sample data are store in the array as zeros? If so, how can you distinct the empty vs a user input zero ?",13,13,17,25,13,A3VJDU2VRMN05L,A233ONYNWKDIYF,A1G05O3HM7DNVZ,A3E25EJ47XXCRL,A3689IWHIHX69E,0.382875963,16.2,Polite,0.00034066,,0
Wikipedia,136389,"It's not my job to add the ""Bronze Age"" material in the article on <url>, so please refrain from removing existing material just because you haven't made any effort to add the ""Bronze Age"" content. OK ?",1,5,13,9,5,A1T5YMBH35PDBX,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,ANVEDG15GV3QE,AIPK94CUWL45W,-2.046866088,6.6,Rude,0.841568686,,2691
Wikipedia,618997,"OK, we are talking about two remaining articles here. The categories serve absolutely no categorization purpose, so why are you being stubborn about it?",9,4,3,9,17,A2UFD1I8ZO1V4G,A22SZHZTF72TRM,A6YO9886DY2SC,AYG3MF094634L,A1BJTTNDDFZ3ZP,-1.667824706,8.4,Rude,0.946281146,,
092011 Stack Overflow,6537302,Why do you need 200 variables? Why not have one array with 200 elements?,11,9,13,13,9,A33SMNMTMIOJ6T,A2YNPKYEFDZ6C9,A2WGBPEN45GJNF,AP6784DKV31O6,AFD31LP2ZU9G7,-0.65060334,11,Rude,0.000729892,,
092011 Stack Overflow,4674799,the edit just made things less clear! how does one reorder a list A to another list B when the elements may be different?!,7,4,9,10,12,A14TK8NCD4CUN1,A872FSFU7WV6W,A1F4D2PZ7NNWTL,AD1IH74UX9IAI,A2BKPNKU3EG41Z,-1.424843068,8.4,Rude,0.000761068,,
092011 Stack Overflow,4244650,You should be more specific - do you need to send the value in the fastest way or in a 'fast enough' way?  How often are you reading the ADC?,7,9,13,13,16,A1UIH2IMG9DV95,A1GGOZPHYU0OC0,A28TXBSZPWMEU9,A28ZB4ZB13BWAI,AP6784DKV31O6,-0.253297958,11.6,Rude,0.001000909,,
Wikipedia,325058,"Arguably, listing the former constructors and even the template itself is not necessary. Could we please try reinstating the previous version and see if and how many other folk don't find the decade information useful/intriguing?",21,17,16,21,25,A233ONYNWKDIYF,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,A28K8ST8B2XU0N,A3IHLWMZNBLUR4,1.037924728,20,Polite,0.255430132,,
092011 Ask Ubuntu,53924,Could you please be more specific. What do you mean by your desktop vanishing?,5,17,9,17,10,AO3XB5I5QNNUI,A233ONYNWKDIYF,A3E157ZN8XPUKJ,A2UFD1I8ZO1V4G,A28TXBSZPWMEU9,-0.54802387,11.6,Rude,0.001522151,,
Wikipedia,626945,Problem solved! Aren't administrators handy?,23,17,12,19,15,AISPSIJ54U4SC,AE3D6SE2D8UPQ,AYG3MF094634L,A1E0EK09CA5OIO,AZOAW8JH5HJJK,0.599798274,17.2,Polite,0.267844596,,
Wikipedia,330257,Please see <url>. Can you help?,13,17,21,21,21,A3S5L3I8O3Q2G,A26YKYQIA3GX8B,A28TXBSZPWMEU9,A29B522D0BX6HN,AIPK94CUWL45W,1.219530118,18.6,Polite,0.276494265,,
092011 Bicycles,6469,Can you estimate what the warmest in-rain air temperature is in which you could or would wear it for an hour?,17,13,15,17,19,A233ONYNWKDIYF,A3S5L3I8O3Q2G,A3OZ8KF0HWSVWK,A22SZHZTF72TRM,A1IL3EEC2BN53J,0.493915831,16.2,Polite,0.002484428,,
Wikipedia,485442,"""Cactus League"", eh? Let's see... what does Liebman have in common with the type of pain you might get from a cactus needle?",13,12,3,13,13,A2UFD1I8ZO1V4G,AYG3MF094634L,AO5E3LWBYM72K,A1RT9SQ9D9DLOV,AD1IH74UX9IAI,-0.923795703,10.8,Rude,0.124365461,,
092011 English Language and Usage,1606,"I don't understand this question. Which dictionary, exactly, doesn't define ""ain't""?",25,17,17,16,22,A3E157ZN8XPUKJ,A1KC138MX47DXA,ARYGQ46IMW8AU,A28TXBSZPWMEU9,A13HSR88OUNIVP,0.825284193,19.4,Polite,0.002734793,,
092011 Stack Overflow,8567115,@luser droog: I can surely try! where can I look at that source?,21,5,20,14,25,A1ZHP80O13CEUI,A2RDZ580VXUO1X,A17G2LOYX7WQZ,A34M93NJC830DP,A38EGQEYZHRQNC,0.923682265,17,Polite,0.002825548,,
